koordinate_merenjastanica,North,East,H,mmperm2
Ada,45.8022222,20.1313889,80,556.5
AdûineLivade,43.8944444,20.8780556,580,825.8
Akmacici,43.4222222,19.8852778,1000,820.2
Aldinac,43.5330556,22.4555556,650,798.1
Aleksaäantic,45.9308333,19.3297222,120,561.5
Aleksandrovac(P.),44.4483333,21.22,98,573.8
Aleksandrovac(Zupa),43.4583333,21.0577778,360,692.6
Aleksinac,43.5425,21.7136111,180,564
Alibunar,45.0808333,20.9716667,80,639.5
Aljinovici,43.3369444,19.8538889,1180,856.3
Apatin,45.6713889,18.9891667,85,659.5
Aradac,45.3827778,20.3072222,80,567.8
Arandjelovac,44.3011111,20.58,250,694
Arilje,43.7536111,20.1016667,350,836.8
Aöanja,44.7577778,20.115,80,655.2
Avala(öums.Upr.),44.6905556,20.5191667,511,714.5
Azanja,44.4344444,20.8852778,170,653.5
Babljak,42.4472222,21.1558333,545,661
Babuönica,43.0658333,22.4183333,495,674.3
Bac,45.3919444,19.2419444,85,609.2
BackaPalanka,45.2508333,19.3972222,80,653.6
BackaTopola,45.8177778,19.655,100,573.8
BackiBreg,45.9197222,18.9336111,95,604.3
BackiBrestovac,45.6161111,19.2708333,90,608.3
BackiGracac,45.5547222,19.3288889,85,589.5
BackiMonoötor,45.7925,18.9386111,85,599.3
BackiPetrovac,45.3605556,19.5969444,85,592.2
BackoGradiöte,45.5322222,20.0341667,85,623.9
BackoN.Selo,45.2941667,19.1463889,80,680.2
BackoP.Selo,45.7080556,20.0808333,80,555.6
Badnjevac,44.1369444,21.0061111,165,631.4
Badovinci,44.8191667,19.3766667,85,672.6
BajinaBaöta,43.9705556,19.5725,270,796.3
Bajmok,45.9672222,19.4347222,115,564.5
Balajnac,43.2741667,21.7827778,205,543.3
BanatskaPalanka,44.8441667,21.3377778,75,702.3
BanatskiBrestovac,44.7272222,20.8108333,80,643
BanatskiDvor,45.5205556,20.5197222,85,613.9
BanatskiKarlovac,45.0469444,21.0216667,100,644.9
BanatskoArandelovo,46.0680556,20.2508333,80,552.8
BanatskoKaradordevo,45.5888889,20.5658333,80,564.4
BanatskoN.Selo,44.9897222,20.7888889,105,631.8
BanatskoPland.,45.2286111,21.1280556,80,635
BanatskoV.Selo,45.8272222,20.6047222,80,543.4
Banicina,44.2888889,20.9430556,170,672.1
BanjaKoviljaca,44.5122222,19.1636111,190,862.3
Banjani,44.5375,19.9852778,120,699.7
Banjska,42.9727778,20.7872222,540,617.9
Banoötor,45.2127778,19.6186111,115,659.1
BanovoPolje,44.91,19.4516667,80,661.8
Barajevo,44.5775,20.4222222,270,732
Barbatovac,43.2277778,21.2644444,430,648.8
Bare(Kragujevac),44.0461111,20.6936111,330,669.1
Barelice,42.4616667,22.0527778,1120,712.9
Barice,45.1816667,21.0858333,80,650.8
Barje,42.8266667,21.8102778,445,807.7
Baöaid,45.6405556,20.4197222,80,660.3
Basare,43.4716667,20.0527778,1150,954.4
Batajnica,44.9058333,20.2802778,80,630.3
Batrovci,45.0530556,19.1375,85,687.6
Batuöa,44.5311111,21.32,110,636.8
Bavaniöte,44.8186111,20.8813889,80,653.1
Bazovik,43.3027778,22.4513889,710,657.1
Becej,45.6158333,20.0547222,78,590.5
Begejci,45.5083333,20.6127778,80,617.9
BelaCrkva(Drim),42.3563889,20.6008333,320,760.4
BelaCrkva(Vröac),44.9030556,21.4302778,90,662
BelaPalanka,43.2177778,22.3169444,290,620.4
Belanovica,44.2475,20.4019444,270,819.1
Belegiö,45.0191667,20.3388889,100,633.6
BeliPotok,43.535,22.0883333,620,703.8
Beljanicai.,44.0822222,21.8288889,1284,1100
Beljanicaz.,44.1116667,21.705,1339,1150
BeloBlato,45.2741667,20.3780556,75,581.4
BeloBrdo,43.2347222,20.8269444,1200,920
Beloljin,43.2322222,21.4036111,295,538.8
Belosavci,44.3280556,20.6963889,165,668.1
Beoce(Raöka),43.3380556,20.6397222,425,584.6
Beocin,45.1938889,19.7302778,162,654.8
Beogradbotanickab.,44.815,20.4791667,95,698
Beogradopserv.,44.7791667,20.4386111,132,685
Beöenovo,45.0827778,19.7088889,150,613.9
BesnaKobila,42.5288889,22.2366667,1922,1143
BesniFok,44.9958333,20.4036111,75,588.4
Bezdan,45.8480556,18.9333333,90,583.8
Bica,42.68,20.6058333,510,637.9
Bikovo,46.02,19.7630556,110,581.4
Bilince,42.4177778,21.6136111,600,653.5
Binac,42.2969444,21.3686111,580,746.8
Bistra,41.9183333,20.7811111,2640,1554
Bistraûin,42.355,20.5169444,330,782.1
Bjeloperice,43.9741667,19.9686111,455,780.8
Bjeluöa,43.6130556,20.0225,860,1051.6
Blace,43.2952778,21.2913889,395,687
Blato,42.5416667,21.6502778,490,582.5
Blaûevo,43.2261111,20.9272222,800,804
Bocar,45.77,20.2866667,85,541.2
Bogaraö,45.9344444,19.9330556,80,600
Bogatic,44.8375,19.4858333,85,662.2
Boge,42.7419444,20.0594444,1360,1120
Bogicevica,42.5738889,20.1138889,2502,1700
Bogojevac,43.0466667,21.9652778,220,583.6
Bogojevo,45.5302778,19.1355556,85,621.3
Bojnik,43.0125,21.7269444,215,648.5
Boljetin,44.5261111,22.0366667,80,740.9
Boljevac,43.8294444,21.9641667,300,706.4
Boljevci,44.7227778,20.2216667,70,650.9
Bor,44.0780556,22.1008333,386,643.8
Borac,43.9605556,20.6116667,360,661.2
Borca,44.8716667,20.4619444,75,631.5
Borcane,43.0747222,20.9213889,1100,697.8
Borince,42.9786111,21.5766667,640,662.6
Borivice,43.3463889,20.4991667,840,722.9
Borovo,43.495,20.74,760,693.1
Bosilegrad,42.4975,22.4747222,830,644
Bostane,42.6008333,21.43,820,686.2
Bosut,44.9338889,19.3713889,85,657.7
Botunje,44.0638889,21.0241667,175,695.5
Boûdarevac,44.5558333,20.3936111,150,690.5
Boûevce,42.5458333,21.5583333,600,635.2
Boûica,42.6166667,22.4080556,1130,748.6
Brabonjic,42.8444444,20.7977778,640,662.5
Bradarac,44.6905556,21.2386111,100,701
Branicevo,44.705,21.5433333,85,638.6
Brankovci,42.4152778,22.4933333,720,680.4
Brankovina,44.3622222,19.8905556,250,802.2
Brenica,43.3822222,21.9330556,480,678.9
Brestac,44.8611111,19.9080556,80,617.4
BrestovDol,43.0391667,22.3102778,660,842.5
Brestovac,44.1841667,22.4113889,250,733.5
BrestovackaBanja,44.0594444,22.0497222,350,698.5
Breûde,44.1911111,20.0766667,340,989.7
Brezna,42.1227778,20.6375,1020,947.7
Brezovica,43.5669444,20.9758333,300,753.9
Brnjak,42.9394444,20.5722222,1060,713.1
Brnjica,44.6563889,21.7716667,70,706.1
Brodarevo,43.2302778,19.7236111,500,753.4
Brus,43.3836111,21.0388889,440,683
Brusnik,44.1069444,22.4519444,200,641.1
BrzaPalanka,44.4675,22.455,60,752
Brzohode,44.3580556,21.2877778,280,647.1
Budakovo,42.3583333,20.9416667,1020,842.3
Budevo,43.1455556,20.0558333,1300,783.4
Bujanovac,42.4588889,21.7722222,400,631.5
Bukoloram,43.1616667,21.4805556,580,700.9
BukovickaBanja,44.3094444,20.5594444,265,672.4
Bukulja,44.2983333,20.5341667,696,920
Bukurovac,43.2441667,22.3480556,390,811.4
BumbarevoBrdo,43.9083333,20.6344444,350,658.8
Bunar,43.9202778,21.1536111,180,651.8
C.Cot,45.1516667,19.7169444,538,825
Cacak,43.8911111,20.3547222,250,748
Cajetina,43.7266667,19.7044444,840,961.3
Calma,45.0794444,19.5125,130,619.3
Cantavir,45.9197222,19.7688889,100,548
Cecevo(ZubinPotok),42.9175,20.6127778,1120,877.7
Cekmin,43.1080556,21.9072222,218,618
Celarevo,45.2691667,19.5308333,80,624
Celopek,42.5758333,20.4469444,430,790.3
Cemernik,42.7338889,22.2819444,1638,930
Cemerno,43.8336111,20.43,1579,980
Ceremoönja,44.405,21.6558333,330,806.2
Cerovica,43.6122222,22.0638889,620,709.9
Ceöljevabara,44.615,21.4936111,125,637.6
Ciflik,43.2233333,22.4133333,402,605.9
Citluk,43.6441667,22.0269444,500,700.6
Coka,45.9422222,20.1491667,85,562.5
Cortanovci,45.1591667,20.0144444,140,608.7
Crepaja,45.0094444,20.6419444,80,617.3
Crkovnica,43.1211111,22.0247222,583,759.3
CrnaBara,45.9725,20.2808333,80,555.7
CrnaBara(Potiska),45.9719444,20.2816667,80,516.6
CrnaTrava,42.8108333,22.3086111,980,896
Crnajka,44.2847222,22.1497222,180,686
Crnca,44.2847222,19.2847222,400,751.2
CrniVrh(Bor),44.1436111,21.9730556,834,827
Crnook,42.4252778,22.3958333,1871,1100
Crnotince,42.3577778,21.7061111,395,647
Crvenka,45.6558333,19.4661111,80,560.1
Culine,44.2944444,19.1738889,170,820
Cuprija,43.9272222,21.3755556,123,649.5
Curug,45.4730556,20.0769444,80,567.3
Cuötica,43.3688889,22.525,500,793.3
D.BelaReka,44.0733333,22.2108333,170,687.2
D.Borina,44.4397222,19.1633333,200,872.2
D.Grbice,44.0658333,20.7969444,380,616.8
D.Kamenica,43.4883333,22.3336111,280,645.9
D.Koritnica,43.1463889,22.3325,400,681.9
D.Leskovice,44.1811111,19.8347222,600,952.9
