tacka,merenje,duzina
B1,1.23278,25.47
1,2.20676,25.72
1,2.20693,25.73
B1,1.23310,25.45
1,1.55182,22.84
2,1.54483,25.04
2,1.54492,25.04
1,1.55183,22.85
2,1.42902,23.98
3,1.55073,25.51
3,1.55044,25.50
2,1.42917,23.98
3,1.43904,24.21
4,1.47458,26.62
4,1.47429,26.60
3,1.43832,24.15
4,1.56302,24.56
B3,1.43726,23.75
B3,1.43715,23.74
4,1.56308,24.54
B3,1.47482,23.99
1,1.51047,25.73
1,1.51053,25.73
B3,1.47482,24.02
1,1.45488,23.68
2,1.67541,23.99
2,1.67532,23.97
1,1.45478,23.69
2,1.38532,23.30
3,1.51026,24.88
3,1.51024,24.89
2,1.38470,23.26
3,1.28373,22.94
4,1.22313,22.64
4,1.22346,22.64
3,1.28364,22.92
4,1.81169,15.78
B4,1.72913,15.12
B4,1.72885,15.17
4,1.81112,15.74
B4,1.29127,25.24
1,1.37912,25.69
1,1.37925,25.69
B4,1.29038,25.24
1,1.45301,23.17
2,1.42721,24.12
2,1.42718,24.11
1,1.45276,23.18
2,1.51921,19.12
B5,1.31094,21.47
B5,1.31099,21.49
2,1.51897,19.13
B5,1.46216,25.41
1,1.52040,24.47
1,1.52045,24.48
B5,1.46247,25.35
1,1.46392,24.72
2,1.37915,25.28
2,1.37923,25.25
1,1.46390,24.71
2,1.46874,23.87
3,1.54885,25.55
3,1.54904,25.54
2,1.46877,23.84
3,1.51718,24.94
4,1.08595,26.22
4,1.08572,26.23
3,1.51737,24.93
4,1.16262,24.28
5,1.48234,25.63
5,1.48226,25.63
4,1.16269,24.30
5,1.52332,23.80
6,1.51376,24.48
6,1.51363,24.48
5,1.52347,23.78
6,1.50661,24.92
7,1.46278,24.93
7,1.46283,24.93
6,1.50659,24.92
7,1.96056,25.10
B1,0.97937,36.65
B1,0.97939,36.69
7,1.96062,25.10
